date,OT
2023-10-04 00:00:00,100
2023-10-04 00:01:00,113
2023-10-04 00:02:00,162
2023-10-04 00:03:00,186
2023-10-04 00:04:00,228
2023-10-04 00:05:00,244
2023-10-04 00:06:00,268
2023-10-04 00:07:00,301
2023-10-04 00:08:00,338
2023-10-04 00:09:00,339
2023-10-04 00:10:00,365
2023-10-04 00:11:00,411
2023-10-04 00:12:00,393
2023-10-04 00:13:00,360
2023-10-04 00:14:00,338
2023-10-04 00:15:00,301
2023-10-04 00:16:00,280
2023-10-04 00:17:00,266
2023-10-04 00:18:00,232
2023-10-04 00:19:00,191
2023-10-04 00:20:00,165
2023-10-04 00:21:00,136
2023-10-04 00:22:00,98
2023-10-04 00:23:00,88
2023-10-04 00:24:00,99
2023-10-04 00:25:00,116
2023-10-04 00:26:00,156
2023-10-04 00:27:00,194
2023-10-04 00:28:00,234
2023-10-04 00:29:00,232
2023-10-04 00:30:00,265
2023-10-04 00:31:00,305
2023-10-04 00:32:00,330
2023-10-04 00:33:00,348
2023-10-04 00:34:00,370
2023-10-04 00:35:00,416
2023-10-04 00:36:00,404
2023-10-04 00:37:00,370
2023-10-04 00:38:00,328
2023-10-04 00:39:00,307
2023-10-04 00:40:00,270
2023-10-04 00:41:00,275
2023-10-04 00:42:00,233
2023-10-04 00:43:00,193
2023-10-04 00:44:00,167
2023-10-04 00:45:00,133
2023-10-04 00:46:00,109
2023-10-04 00:47:00,86
2023-10-04 00:48:00,108
2023-10-04 00:49:00,126
2023-10-04 00:50:00,167
2023-10-04 00:51:00,181
2023-10-04 00:52:00,237
2023-10-04 00:53:00,230
2023-10-04 00:54:00,254
2023-10-04 00:55:00,307
2023-10-04 00:56:00,322
2023-10-04 00:57:00,344
2023-10-04 00:58:00,367
2023-10-04 00:59:00,406
2023-10-04 01:00:00,393
2023-10-04 01:01:00,362
2023-10-04 01:02:00,322
2023-10-04 01:03:00,319
2023-10-04 01:04:00,258
2023-10-04 01:05:00,272
2023-10-04 01:06:00,231
2023-10-04 01:07:00,185
2023-10-04 01:08:00,158
2023-10-04 01:09:00,139
2023-10-04 01:10:00,105
2023-10-04 01:11:00,92
2023-10-04 01:12:00,105
2023-10-04 01:13:00,133
2023-10-04 01:14:00,170
2023-10-04 01:15:00,183
2023-10-04 01:16:00,249
2023-10-04 01:17:00,222
2023-10-04 01:18:00,248
2023-10-04 01:19:00,314
2023-10-04 01:20:00,328
2023-10-04 01:21:00,338
2023-10-04 01:22:00,365
2023-10-04 01:23:00,411
2023-10-04 01:24:00,403
2023-10-04 01:25:00,349
2023-10-04 01:26:00,318
2023-10-04 01:27:00,331
2023-10-04 01:28:00,256
2023-10-04 01:29:00,277
2023-10-04 01:30:00,228
2023-10-04 01:31:00,182
2023-10-04 01:32:00,159
2023-10-04 01:33:00,137
2023-10-04 01:34:00,110
2023-10-04 01:35:00,95
2023-10-04 01:36:00,97
2023-10-04 01:37:00,141
2023-10-04 01:38:00,165
2023-10-04 01:39:00,188
2023-10-04 01:40:00,251
2023-10-04 01:41:00,215
2023-10-04 01:42:00,241
2023-10-04 01:43:00,303
2023-10-04 01:44:00,328
2023-10-04 01:45:00,347
2023-10-04 01:46:00,352
2023-10-04 01:47:00,410
2023-10-04 01:48:00,415
2023-10-04 01:49:00,359
2023-10-04 01:50:00,317
2023-10-04 01:51:00,324
2023-10-04 01:52:00,251
2023-10-04 01:53:00,283
2023-10-04 01:54:00,225
2023-10-04 01:55:00,182
2023-10-04 01:56:00,150
2023-10-04 01:57:00,149
2023-10-04 01:58:00,114
2023-10-04 01:59:00,89
2023-10-04 02:00:00,54
2023-10-04 02:01:00,90
2023-10-04 02:02:00,112
2023-10-04 02:03:00,134
2023-10-04 02:04:00,190
2023-10-04 02:05:00,168
2023-10-04 02:06:00,195
2023-10-04 02:07:00,261
2023-10-04 02:08:00,284
2023-10-04 02:09:00,293
2023-10-04 02:10:00,290
2023-10-04 02:11:00,349
2023-10-04 02:12:00,365
2023-10-04 02:13:00,318
2023-10-04 02:14:00,275
2023-10-04 02:15:00,277
2023-10-04 02:16:00,202
2023-10-04 02:17:00,243
2023-10-04 02:18:00,165
2023-10-04 02:19:00,126
2023-10-04 02:20:00,89
2023-10-04 02:21:00,90
2023-10-04 02:22:00,62
2023-10-04 02:23:00,41
2023-10-04 02:24:00,2
2023-10-04 02:25:00,39
2023-10-04 02:26:00,74
2023-10-04 02:27:00,95
2023-10-04 02:28:00,134
2023-10-04 02:29:00,119
2023-10-04 02:30:00,156
2023-10-04 02:31:00,209
2023-10-04 02:32:00,237
2023-10-04 02:33:00,237
2023-10-04 02:34:00,241
2023-10-04 02:35:00,308
2023-10-04 02:36:00,321
2023-10-04 02:37:00,266
2023-10-04 02:38:00,228
2023-10-04 02:39:00,215
2023-10-04 02:40:00,158
2023-10-04 02:41:00,185
2023-10-04 02:42:00,117
2023-10-04 02:43:00,71
2023-10-04 02:44:00,49
2023-10-04 02:45:00,47
2023-10-04 02:46:00,23
2023-10-04 02:47:00,20
2023-10-04 02:48:00,90
2023-10-04 02:49:00,102
2023-10-04 02:50:00,159
2023-10-04 02:51:00,194
2023-10-04 02:52:00,219
2023-10-04 02:53:00,246
2023-10-04 02:54:00,265
2023-10-04 02:55:00,294
2023-10-04 02:56:00,346
2023-10-04 02:57:00,327
2023-10-04 02:58:00,372
2023-10-04 02:59:00,418
2023-10-04 03:00:00,391
2023-10-04 03:01:00,354
2023-10-04 03:02:00,345
2023-10-04 03:03:00,290
2023-10-04 03:04:00,277
2023-10-04 03:05:00,264
2023-10-04 03:06:00,226
2023-10-04 03:07:00,199
2023-10-04 03:08:00,173
2023-10-04 03:09:00,133
2023-10-04 03:10:00,87
2023-10-04 03:11:00,76
2023-10-04 03:12:00,100
2023-10-04 03:13:00,98
2023-10-04 03:14:00,148
2023-10-04 03:15:00,204
2023-10-04 03:16:00,210
2023-10-04 03:17:00,240
2023-10-04 03:18:00,271
2023-10-04 03:19:00,298
2023-10-04 03:20:00,345
2023-10-04 03:21:00,339
2023-10-04 03:22:00,378
2023-10-04 03:23:00,424
2023-10-04 03:24:00,392
2023-10-04 03:25:00,360
2023-10-04 03:26:00,353
2023-10-04 03:27:00,294
2023-10-04 03:28:00,276
2023-10-04 03:29:00,259
2023-10-04 03:30:00,238
2023-10-04 03:31:00,200
2023-10-04 03:32:00,170
2023-10-04 03:33:00,142
2023-10-04 03:34:00,78
2023-10-04 03:35:00,65
2023-10-04 03:36:00,110
2023-10-04 03:37:00,96
2023-10-04 03:38:00,141
2023-10-04 03:39:00,217
2023-10-04 03:40:00,198
2023-10-04 03:41:00,229
2023-10-04 03:42:00,280
2023-10-04 03:43:00,292
2023-10-04 03:44:00,353
2023-10-04 03:45:00,340
2023-10-04 03:46:00,373
2023-10-04 03:47:00,413
2023-10-04 03:48:00,403
2023-10-04 03:49:00,367
2023-10-04 03:50:00,342
2023-10-04 03:51:00,285
2023-10-04 03:52:00,285
2023-10-04 03:53:00,266
2023-10-04 03:54:00,230
2023-10-04 03:55:00,204
2023-10-04 03:56:00,158
2023-10-04 03:57:00,135
2023-10-04 03:58:00,66
2023-10-04 03:59:00,73
2023-10-04 04:00:00,98
2023-10-04 04:01:00,84
2023-10-04 04:02:00,146
2023-10-04 04:03:00,218
2023-10-04 04:04:00,206
2023-10-04 04:05:00,239
2023-10-04 04:06:00,284
2023-10-04 04:07:00,282
2023-10-04 04:08:00,353
2023-10-04 04:09:00,328
2023-10-04 04:10:00,381
2023-10-04 04:11:00,410
2023-10-04 04:12:00,392
2023-10-04 04:13:00,371
2023-10-04 04:14:00,353
2023-10-04 04:15:00,278
2023-10-04 04:16:00,297
2023-10-04 04:17:00,261
2023-10-04 04:18:00,229
2023-10-04 04:19:00,206
2023-10-04 04:20:00,158
2023-10-04 04:21:00,140
2023-10-04 04:22:00,73
2023-10-04 04:23:00,81
2023-10-04 04:24:00,109
2023-10-04 04:25:00,94
2023-10-04 04:26:00,136
2023-10-04 04:27:00,229
2023-10-04 04:28:00,204
2023-10-04 04:29:00,230
2023-10-04 04:30:00,292
2023-10-04 04:31:00,279
2023-10-04 04:32:00,350
2023-10-04 04:33:00,333
2023-10-04 04:34:00,374
2023-10-04 04:35:00,402
2023-10-04 04:36:00,401
2023-10-04 04:37:00,372
2023-10-04 04:38:00,346
2023-10-04 04:39:00,275
2023-10-04 04:40:00,309
2023-10-04 04:41:00,272
2023-10-04 04:42:00,225
2023-10-04 04:43:00,200
2023-10-04 04:44:00,155
2023-10-04 04:45:00,140
2023-10-04 04:46:00,83
2023-10-04 04:47:00,73
