date,OT
2023-10-04 00:00:00,2146
2023-10-04 00:01:00,3621
2023-10-04 00:02:00,3698
2023-10-04 00:03:00,3667
2023-10-04 00:04:00,3316
2023-10-04 00:05:00,2815
2023-10-04 00:06:00,1658
2023-10-04 00:07:00,2288
2023-10-04 00:08:00,3638
2023-10-04 00:09:00,4462
2023-10-04 00:10:00,4414
2023-10-04 00:11:00,4315
2023-10-04 00:12:00,3323
2023-10-04 00:13:00,1656
2023-10-04 00:14:00,2465
2023-10-04 00:15:00,4096
2023-10-04 00:16:00,4474
2023-10-04 00:17:00,4124
2023-10-04 00:18:00,3514
2023-10-04 00:19:00,3005
2023-10-04 00:20:00,2054
2023-10-04 00:21:00,2847
2023-10-04 00:22:00,4501
2023-10-04 00:23:00,4603
2023-10-04 00:24:00,4187
2023-10-04 00:25:00,4343
2023-10-04 00:26:00,3565
2023-10-04 00:27:00,2080
2023-10-04 00:28:00,3031
2023-10-04 00:29:00,4814
2023-10-04 00:30:00,5040
2023-10-04 00:31:00,5028
2023-10-04 00:32:00,4658
2023-10-04 00:33:00,3624
2023-10-04 00:34:00,2285
2023-10-04 00:35:00,3454
2023-10-04 00:36:00,5307
2023-10-04 00:37:00,5135
2023-10-04 00:38:00,5084
2023-10-04 00:39:00,4650
2023-10-04 00:40:00,3571
2023-10-04 00:41:00,2354
2023-10-04 00:42:00,3497
2023-10-04 00:43:00,5294
2023-10-04 00:44:00,4643
2023-10-04 00:45:00,4596
2023-10-04 00:46:00,4162
2023-10-04 00:47:00,2933
2023-10-04 00:48:00,2202
2023-10-04 00:49:00,3083
2023-10-04 00:50:00,4376
2023-10-04 00:51:00,4704
2023-10-04 00:52:00,4306
2023-10-04 00:53:00,4178
2023-10-04 00:54:00,3236
2023-10-04 00:55:00,2010
2023-10-04 00:56:00,2901
2023-10-04 00:57:00,4754
2023-10-04 00:58:00,4417
2023-10-04 00:59:00,4535
2023-10-04 01:00:00,4274
2023-10-04 01:01:00,3382
2023-10-04 01:02:00,2085
2023-10-04 01:03:00,3083
2023-10-04 01:04:00,4860
2023-10-04 01:05:00,4893
2023-10-04 01:06:00,4866
2023-10-04 01:07:00,4584
2023-10-04 01:08:00,3914
2023-10-04 01:09:00,2431
2023-10-04 01:10:00,3157
2023-10-04 01:11:00,5045
2023-10-04 01:12:00,4746
2023-10-04 01:13:00,4314
2023-10-04 01:14:00,3663
2023-10-04 01:15:00,3270
2023-10-04 01:16:00,2905
2023-10-04 01:17:00,4016
2023-10-04 01:18:00,5266
2023-10-04 01:19:00,5795
2023-10-04 01:20:00,5728
2023-10-04 01:21:00,5293
2023-10-04 01:22:00,3934
2023-10-04 01:23:00,3071
2023-10-04 01:24:00,3876
2023-10-04 01:25:00,5878
2023-10-04 01:26:00,5712
2023-10-04 01:27:00,5491
2023-10-04 01:28:00,5144
2023-10-04 01:29:00,3880
2023-10-04 01:30:00,2605
2023-10-04 01:31:00,3625
2023-10-04 01:32:00,4685
